"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Percent!!Estimate","Boone County, Kentucky!!Percent!!Margin of Error","Boone County, Kentucky!!Male!!Estimate","Boone County, Kentucky!!Male!!Margin of Error","Boone County, Kentucky!!Percent Male!!Estimate","Boone County, Kentucky!!Percent Male!!Margin of Error","Boone County, Kentucky!!Female!!Estimate","Boone County, Kentucky!!Female!!Margin of Error","Boone County, Kentucky!!Percent Female!!Estimate","Boone County, Kentucky!!Percent Female!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Percent!!Estimate","Bullitt County, Kentucky!!Percent!!Margin of Error","Bullitt County, Kentucky!!Male!!Estimate","Bullitt County, Kentucky!!Male!!Margin of Error","Bullitt County, Kentucky!!Percent Male!!Estimate","Bullitt County, Kentucky!!Percent Male!!Margin of Error","Bullitt County, Kentucky!!Female!!Estimate","Bullitt County, Kentucky!!Female!!Margin of Error","Bullitt County, Kentucky!!Percent Female!!Estimate","Bullitt County, Kentucky!!Percent Female!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Percent!!Estimate","Campbell County, Kentucky!!Percent!!Margin of Error","Campbell County, Kentucky!!Male!!Estimate","Campbell County, Kentucky!!Male!!Margin of Error","Campbell County, Kentucky!!Percent Male!!Estimate","Campbell County, Kentucky!!Percent Male!!Margin of Error","Campbell County, Kentucky!!Female!!Estimate","Campbell County, Kentucky!!Female!!Margin of Error","Campbell County, Kentucky!!Percent Female!!Estimate","Campbell County, Kentucky!!Percent Female!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Percent!!Estimate","Christian County, Kentucky!!Percent!!Margin of Error","Christian County, Kentucky!!Male!!Estimate","Christian County, Kentucky!!Male!!Margin of Error","Christian County, Kentucky!!Percent Male!!Estimate","Christian County, Kentucky!!Percent Male!!Margin of Error","Christian County, Kentucky!!Female!!Estimate","Christian County, Kentucky!!Female!!Margin of Error","Christian County, Kentucky!!Percent Female!!Estimate","Christian County, Kentucky!!Percent Female!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Percent!!Estimate","Daviess County, Kentucky!!Percent!!Margin of Error","Daviess County, Kentucky!!Male!!Estimate","Daviess County, Kentucky!!Male!!Margin of Error","Daviess County, Kentucky!!Percent Male!!Estimate","Daviess County, Kentucky!!Percent Male!!Margin of Error","Daviess County, Kentucky!!Female!!Estimate","Daviess County, Kentucky!!Female!!Margin of Error","Daviess County, Kentucky!!Percent Female!!Estimate","Daviess County, Kentucky!!Percent Female!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Percent!!Estimate","Fayette County, Kentucky!!Percent!!Margin of Error","Fayette County, Kentucky!!Male!!Estimate","Fayette County, Kentucky!!Male!!Margin of Error","Fayette County, Kentucky!!Percent Male!!Estimate","Fayette County, Kentucky!!Percent Male!!Margin of Error","Fayette County, Kentucky!!Female!!Estimate","Fayette County, Kentucky!!Female!!Margin of Error","Fayette County, Kentucky!!Percent Female!!Estimate","Fayette County, Kentucky!!Percent Female!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Percent!!Estimate","Hardin County, Kentucky!!Percent!!Margin of Error","Hardin County, Kentucky!!Male!!Estimate","Hardin County, Kentucky!!Male!!Margin of Error","Hardin County, Kentucky!!Percent Male!!Estimate","Hardin County, Kentucky!!Percent Male!!Margin of Error","Hardin County, Kentucky!!Female!!Estimate","Hardin County, Kentucky!!Female!!Margin of Error","Hardin County, Kentucky!!Percent Female!!Estimate","Hardin County, Kentucky!!Percent Female!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Percent!!Estimate","Jefferson County, Kentucky!!Percent!!Margin of Error","Jefferson County, Kentucky!!Male!!Estimate","Jefferson County, Kentucky!!Male!!Margin of Error","Jefferson County, Kentucky!!Percent Male!!Estimate","Jefferson County, Kentucky!!Percent Male!!Margin of Error","Jefferson County, Kentucky!!Female!!Estimate","Jefferson County, Kentucky!!Female!!Margin of Error","Jefferson County, Kentucky!!Percent Female!!Estimate","Jefferson County, Kentucky!!Percent Female!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Percent!!Estimate","Kenton County, Kentucky!!Percent!!Margin of Error","Kenton County, Kentucky!!Male!!Estimate","Kenton County, Kentucky!!Male!!Margin of Error","Kenton County, Kentucky!!Percent Male!!Estimate","Kenton County, Kentucky!!Percent Male!!Margin of Error","Kenton County, Kentucky!!Female!!Estimate","Kenton County, Kentucky!!Female!!Margin of Error","Kenton County, Kentucky!!Percent Female!!Estimate","Kenton County, Kentucky!!Percent Female!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Percent!!Estimate","McCracken County, Kentucky!!Percent!!Margin of Error","McCracken County, Kentucky!!Male!!Estimate","McCracken County, Kentucky!!Male!!Margin of Error","McCracken County, Kentucky!!Percent Male!!Estimate","McCracken County, Kentucky!!Percent Male!!Margin of Error","McCracken County, Kentucky!!Female!!Estimate","McCracken County, Kentucky!!Female!!Margin of Error","McCracken County, Kentucky!!Percent Female!!Estimate","McCracken County, Kentucky!!Percent Female!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Percent!!Estimate","Madison County, Kentucky!!Percent!!Margin of Error","Madison County, Kentucky!!Male!!Estimate","Madison County, Kentucky!!Male!!Margin of Error","Madison County, Kentucky!!Percent Male!!Estimate","Madison County, Kentucky!!Percent Male!!Margin of Error","Madison County, Kentucky!!Female!!Estimate","Madison County, Kentucky!!Female!!Margin of Error","Madison County, Kentucky!!Percent Female!!Estimate","Madison County, Kentucky!!Percent Female!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Percent!!Estimate","Oldham County, Kentucky!!Percent!!Margin of Error","Oldham County, Kentucky!!Male!!Estimate","Oldham County, Kentucky!!Male!!Margin of Error","Oldham County, Kentucky!!Percent Male!!Estimate","Oldham County, Kentucky!!Percent Male!!Margin of Error","Oldham County, Kentucky!!Female!!Estimate","Oldham County, Kentucky!!Female!!Margin of Error","Oldham County, Kentucky!!Percent Female!!Estimate","Oldham County, Kentucky!!Percent Female!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Percent!!Estimate","Warren County, Kentucky!!Percent!!Margin of Error","Warren County, Kentucky!!Male!!Estimate","Warren County, Kentucky!!Male!!Margin of Error","Warren County, Kentucky!!Percent Male!!Estimate","Warren County, Kentucky!!Percent Male!!Margin of Error","Warren County, Kentucky!!Female!!Estimate","Warren County, Kentucky!!Female!!Margin of Error","Warren County, Kentucky!!Percent Female!!Estimate","Warren County, Kentucky!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","11,637","±1,169","(X)","(X)","5,679","±744","(X)","(X)","5,958","±521","(X)","(X)","6,166","±330","(X)","(X)","3,280","±301","(X)","(X)","2,886","±164","(X)","(X)","9,342","±427","(X)","(X)","4,506","±352","(X)","(X)","4,836","±363","(X)","(X)","10,208","±977","(X)","(X)","6,811","±703","(X)","(X)","3,397","±613","(X)","(X)","7,872","±519","(X)","(X)","4,111","±430","(X)","(X)","3,761","±213","(X)","(X)","44,233","±686","(X)","(X)","21,608","±445","(X)","(X)","22,625","±476","(X)","(X)","9,527","±680","(X)","(X)","5,580","±528","(X)","(X)","3,947","±460","(X)","(X)","65,212","±190","(X)","(X)","33,019","±190","(X)","(X)","32,193","±2","(X)","(X)","14,456","±900","(X)","(X)","7,685","±683","(X)","(X)","6,771","±609","(X)","(X)","5,124","±729","(X)","(X)","2,600","±503","(X)","(X)","2,524","±504","(X)","(X)","16,684","±797","(X)","(X)","7,698","±562","(X)","(X)","8,986","±547","(X)","(X)","5,387","±381","(X)","(X)","2,792","±286","(X)","(X)","2,595","±327","(X)","(X)","21,372","±1,068","(X)","(X)","10,007","±794","(X)","(X)","11,365","±510","(X)","(X)","30,373,170","±42,282","(X)","(X)","15,556,254","±26,205","(X)","(X)","14,816,916","±25,476","(X)","(X)"
"        Less than high school graduate","1,816","±792","15.6%","±6.1","1,041","±711","18.3%","±10.7","775","±510","13.0%","±8.8","414","±218","6.7%","±3.6","359","±200","10.9%","±6.2","55","±75","1.9%","±2.6","249","±195","2.7%","±2.1","249","±195","5.5%","±4.3","0","±201","0.0%","±3.4","1,313","±818","12.9%","±8.1","508","±541","7.5%","±8.1","805","±531","23.7%","±15.5","695","±398","8.8%","±5.0","444","±291","10.8%","±7.0","251","±296","6.7%","±7.9","2,658","±871","6.0%","±2.0","1,658","±769","7.7%","±3.5","1,000","±590","4.4%","±2.6","1,647","±544","17.3%","±5.8","945","±429","16.9%","±7.8","702","±445","17.8%","±11.4","7,215","±1,624","11.1%","±2.5","4,950","±1,488","15.0%","±4.5","2,265","±900","7.0%","±2.8","1,271","±536","8.8%","±3.6","638","±297","8.3%","±3.9","633","±403","9.3%","±5.8","274","±215","5.3%","±4.4","47","±74","1.8%","±2.9","227","±203","9.0%","±8.3","1,331","±694","8.0%","±4.1","512","±497","6.7%","±6.4","819","±569","9.1%","±6.2","802","±542","14.9%","±9.9","372","±337","13.3%","±11.1","430","±390","16.6%","±15.5","1,404","±592","6.6%","±2.8","590","±515","5.9%","±5.2","814","±454","7.2%","±3.9","3,662,080","±41,512","12.1%","±0.1","2,126,765","±29,356","13.7%","±0.2","1,535,315","±23,612","10.4%","±0.2"
"        High school graduate (includes equivalency)","4,032","±1,169","34.6%","±10.0","1,531","±794","27.0%","±15.0","2,501","±794","42.0%","±12.7","3,106","±708","50.4%","±10.3","1,878","±494","57.3%","±13.2","1,228","±493","42.6%","±16.6","3,534","±829","37.8%","±8.9","1,725","±544","38.3%","±11.7","1,809","±576","37.4%","±11.7","4,374","±1,072","42.8%","±8.7","3,578","±864","52.5%","±10.3","796","±423","23.4%","±11.1","2,864","±852","36.4%","±10.7","1,763","±670","42.9%","±15.6","1,101","±438","29.3%","±11.8","9,380","±1,805","21.2%","±4.0","5,025","±1,400","23.3%","±6.5","4,355","±1,423","19.2%","±6.2","4,640","±942","48.7%","±8.7","3,202","±731","57.4%","±11.0","1,438","±553","36.4%","±13.1","23,809","±2,144","36.5%","±3.3","12,489","±1,584","37.8%","±4.8","11,320","±1,697","35.2%","±5.3","6,535","±996","45.2%","±5.9","3,893","±891","50.7%","±9.7","2,642","±726","39.0%","±9.3","2,130","±850","41.6%","±14.6","1,400","±706","53.8%","±23.4","730","±404","28.9%","±14.9","5,084","±1,045","30.5%","±6.0","2,193","±618","28.5%","±7.6","2,891","±852","32.2%","±9.1","1,440","±535","26.7%","±10.3","1,183","±440","42.4%","±15.3","257","±243","9.9%","±9.5","6,556","±1,632","30.7%","±7.2","4,092","±1,110","40.9%","±10.6","2,464","±1,008","21.7%","±8.4","9,921,331","±56,156","32.7%","±0.2","5,613,801","±42,121","36.1%","±0.3","4,307,530","±28,987","29.1%","±0.2"
"        Some college or associate's degree","4,364","±1,253","37.5%","±10.7","2,574","±929","45.3%","±16.3","1,790","±820","30.0%","±13.6","2,505","±596","40.6%","±10.2","908","±403","27.7%","±12.3","1,597","±469","55.3%","±16.4","3,915","±927","41.9%","±9.5","1,995","±560","44.3%","±11.8","1,920","±570","39.7%","±10.9","4,242","±972","41.6%","±9.2","2,594","±719","38.1%","±9.9","1,648","±605","48.5%","±16.0","3,501","±664","44.5%","±8.6","1,407","±504","34.2%","±12.6","2,094","±434","55.7%","±11.0","24,220","±2,156","54.8%","±5.0","12,007","±1,976","55.6%","±9.0","12,213","±1,816","54.0%","±8.1","2,737","±745","28.7%","±7.5","1,291","±517","23.1%","±9.2","1,446","±576","36.6%","±13.4","24,088","±2,615","36.9%","±4.0","11,925","±1,795","36.1%","±5.4","12,163","±1,725","37.8%","±5.4","4,344","±1,030","30.0%","±7.0","2,197","±841","28.6%","±10.8","2,147","±569","31.7%","±9.2","2,474","±742","48.3%","±12.9","907","±499","34.9%","±19.6","1,567","±531","62.1%","±16.2","8,711","±1,356","52.2%","±7.6","4,383","±920","56.9%","±11.5","4,328","±961","48.2%","±10.5","2,502","±779","46.4%","±14.0","1,071","±438","38.4%","±16.8","1,431","±553","55.1%","±18.9","11,143","±1,814","52.1%","±8.1","4,404","±1,322","44.0%","±12.1","6,739","±1,049","59.3%","±9.7","13,168,280","±67,371","43.4%","±0.2","6,298,275","±47,639","40.5%","±0.3","6,870,005","±38,395","46.4%","±0.2"
"        Bachelor's degree or higher","1,425","±744","12.2%","±6.1","533","±408","9.4%","±7.1","892","±498","15.0%","±8.1","141","±173","2.3%","±2.8","135","±173","4.1%","±5.2","6","±12","0.2%","±0.4","1,644","±632","17.6%","±6.8","537","±344","11.9%","±7.6","1,107","±476","22.9%","±9.9","279","±244","2.7%","±2.3","131","±115","1.9%","±1.6","148","±221","4.4%","±6.2","812","±530","10.3%","±6.4","497","±354","12.1%","±8.1","315","±239","8.4%","±6.2","7,975","±1,658","18.0%","±3.7","2,918","±1,085","13.5%","±5.0","5,057","±1,274","22.4%","±5.6","503","±338","5.3%","±3.6","142","±177","2.5%","±3.2","361","±260","9.1%","±6.6","10,100","±1,621","15.5%","±2.5","3,655","±955","11.1%","±2.9","6,445","±1,212","20.0%","±3.8","2,306","±654","16.0%","±4.6","957","±454","12.5%","±6.1","1,349","±516","19.9%","±7.4","246","±245","4.8%","±4.8","246","±245","9.5%","±9.5","0","±201","0.0%","±6.4","1,558","±736","9.3%","±4.4","610","±411","7.9%","±5.3","948","±583","10.5%","±6.6","643","±447","11.9%","±8.0","166","±228","5.9%","±8.2","477","±351","18.4%","±12.6","2,269","±946","10.6%","±4.5","921","±671","9.2%","±6.7","1,348","±587","11.9%","±5.3","3,621,479","±38,999","11.9%","±0.1","1,517,413","±21,841","9.8%","±0.1","2,104,066","±26,405","14.2%","±0.2"
"    Population 25 years and over","87,428","±1,169","(X)","(X)","42,746","±1,133","(X)","(X)","44,682","±546","(X)","(X)","57,989","±364","(X)","(X)","28,526","±454","(X)","(X)","29,463","±528","(X)","(X)","64,791","±400","(X)","(X)","31,414","±538","(X)","(X)","33,377","±472","(X)","(X)","41,216","±992","(X)","(X)","20,384","±773","(X)","(X)","20,832","±552","(X)","(X)","68,986","±520","(X)","(X)","32,787","±452","(X)","(X)","36,199","±229","(X)","(X)","211,577","±783","(X)","(X)","102,059","±517","(X)","(X)","109,518","±684","(X)","(X)","74,583","±667","(X)","(X)","35,471","±677","(X)","(X)","39,112","±701","(X)","(X)","532,991","±240","(X)","(X)","251,089","±342","(X)","(X)","281,902","±264","(X)","(X)","113,122","±899","(X)","(X)","54,586","±771","(X)","(X)","58,536","±630","(X)","(X)","45,495","±834","(X)","(X)","20,978","±422","(X)","(X)","24,517","±664","(X)","(X)","57,084","±792","(X)","(X)","27,777","±668","(X)","(X)","29,307","±534","(X)","(X)","44,929","±496","(X)","(X)","23,400","±562","(X)","(X)","21,529","±501","(X)","(X)","81,148","±1,068","(X)","(X)","39,510","±779","(X)","(X)","41,638","±584","(X)","(X)","224,898,568","±68,852","(X)","(X)","108,711,092","±44,257","(X)","(X)","116,187,476","±37,512","(X)","(X)"
"        Less than 9th grade","3,038","±1,487","3.5%","±1.7","1,343","±926","3.1%","±2.1","1,695","±968","3.8%","±2.2","1,831","±884","3.2%","±1.5","979","±518","3.4%","±1.8","852","±527","2.9%","±1.8","2,057","±793","3.2%","±1.2","1,011","±473","3.2%","±1.5","1,046","±646","3.1%","±1.9","2,529","±743","6.1%","±1.8","1,201","±517","5.9%","±2.5","1,328","±596","6.4%","±2.9","3,433","±1,196","5.0%","±1.7","2,052","±869","6.3%","±2.7","1,381","±583","3.8%","±1.6","6,581","±1,691","3.1%","±0.8","3,643","±1,042","3.6%","±1.0","2,938","±960","2.7%","±0.9","1,741","±801","2.3%","±1.1","749","±467","2.1%","±1.3","992","±496","2.5%","±1.3","14,526","±2,346","2.7%","±0.4","6,986","±1,673","2.8%","±0.7","7,540","±1,514","2.7%","±0.5","3,917","±1,051","3.5%","±0.9","2,441","±791","4.5%","±1.4","1,476","±548","2.5%","±0.9","1,558","±663","3.4%","±1.5","938","±498","4.5%","±2.4","620","±441","2.5%","±1.8","1,357","±664","2.4%","±1.2","635","±415","2.3%","±1.5","722","±498","2.5%","±1.7","616","±537","1.4%","±1.2","517","±532","2.2%","±2.3","99","±131","0.5%","±0.6","4,881","±1,475","6.0%","±1.8","2,164","±965","5.5%","±2.5","2,717","±901","6.5%","±2.2","10,874,685","±74,193","4.8%","±0.1","5,401,669","±47,283","5.0%","±0.1","5,473,016","±42,598","4.7%","±0.1"
"        9th to 12th grade, no diploma","3,746","±1,304","4.3%","±1.5","2,004","±963","4.7%","±2.2","1,742","±637","3.9%","±1.4","4,868","±1,301","8.4%","±2.2","2,461","±968","8.6%","±3.3","2,407","±832","8.2%","±2.8","3,456","±998","5.3%","±1.5","1,717","±632","5.5%","±2.0","1,739","±619","5.2%","±1.9","3,560","±931","8.6%","±2.2","1,794","±661","8.8%","±3.2","1,766","±547","8.5%","±2.6","5,473","±1,523","7.9%","±2.2","2,569","±773","7.8%","±2.4","2,904","±1,200","8.0%","±3.3","9,352","±1,653","4.4%","±0.8","4,660","±1,126","4.6%","±1.1","4,692","±1,060","4.3%","±1.0","4,521","±1,234","6.1%","±1.6","2,312","±909","6.5%","±2.6","2,209","±863","5.6%","±2.2","30,864","±3,244","5.8%","±0.6","15,401","±2,352","6.1%","±0.9","15,463","±2,021","5.5%","±0.7","6,228","±1,038","5.5%","±0.9","3,548","±814","6.5%","±1.5","2,680","±706","4.6%","±1.2","3,312","±1,105","7.3%","±2.4","1,528","±602","7.3%","±2.9","1,784","±742","7.3%","±3.0","3,736","±1,025","6.5%","±1.8","2,114","±755","7.6%","±2.7","1,622","±572","5.5%","±1.9","2,137","±649","4.8%","±1.4","1,279","±438","5.5%","±1.9","858","±450","4.0%","±2.1","3,624","±1,053","4.5%","±1.3","2,069","±753","5.2%","±1.9","1,555","±723","3.7%","±1.7","14,743,856","±83,892","6.6%","±0.1","7,685,261","±56,956","7.1%","±0.1","7,058,595","±49,549","6.1%","±0.1"
"        High school graduate (includes equivalency)","23,168","±2,654","26.5%","±3.0","11,283","±1,790","26.4%","±4.1","11,885","±1,708","26.6%","±3.8","23,421","±2,432","40.4%","±4.1","12,729","±1,604","44.6%","±5.7","10,692","±1,397","36.3%","±4.8","17,352","±1,654","26.8%","±2.6","8,654","±1,050","27.5%","±3.3","8,698","±1,130","26.1%","±3.4","11,646","±1,349","28.3%","±3.3","6,281","±1,006","30.8%","±5.1","5,365","±929","25.8%","±4.5","21,439","±2,079","31.1%","±3.0","10,916","±1,438","33.3%","±4.3","10,523","±1,253","29.1%","±3.5","44,780","±3,431","21.2%","±1.6","23,582","±2,355","23.1%","±2.3","21,198","±2,198","19.4%","±2.0","23,230","±2,338","31.1%","±3.1","12,165","±1,654","34.3%","±4.6","11,065","±1,567","28.3%","±4.0","142,555","±5,675","26.7%","±1.1","69,029","±3,868","27.5%","±1.5","73,526","±3,616","26.1%","±1.3","32,953","±2,336","29.1%","±2.1","17,122","±1,588","31.4%","±2.9","15,831","±1,670","27.0%","±2.9","15,157","±1,855","33.3%","±4.0","7,471","±1,240","35.6%","±5.8","7,686","±1,293","31.3%","±5.1","17,396","±1,826","30.5%","±3.2","9,098","±1,384","32.8%","±4.8","8,298","±1,136","28.3%","±4.0","10,631","±1,301","23.7%","±2.8","5,824","±935","24.9%","±3.9","4,807","±867","22.3%","±3.9","20,878","±2,244","25.7%","±2.7","11,404","±1,470","28.9%","±3.6","9,474","±1,562","22.8%","±3.7","60,482,353","±181,247","26.9%","±0.1","30,551,814","±109,150","28.1%","±0.1","29,930,539","±105,580","25.8%","±0.1"
"        Some college, no degree","21,177","±2,122","24.2%","±2.5","10,086","±1,786","23.6%","±4.3","11,091","±1,578","24.8%","±3.5","12,451","±1,400","21.5%","±2.4","6,178","±1,172","21.7%","±4.1","6,273","±1,151","21.3%","±3.9","11,363","±1,361","17.5%","±2.1","5,704","±924","18.2%","±3.0","5,659","±1,003","17.0%","±3.0","9,979","±1,397","24.2%","±3.3","5,475","±1,208","26.9%","±5.8","4,504","±858","21.6%","±4.1","14,589","±1,982","21.1%","±2.9","7,706","±1,309","23.5%","±3.9","6,883","±1,216","19.0%","±3.3","40,585","±3,134","19.2%","±1.5","20,727","±2,228","20.3%","±2.2","19,858","±2,064","18.1%","±1.9","18,311","±2,258","24.6%","±3.0","8,162","±1,459","23.0%","±4.1","10,149","±1,467","25.9%","±3.8","114,413","±4,772","21.5%","±0.9","52,292","±2,897","20.8%","±1.1","62,121","±3,655","22.0%","±1.3","22,383","±1,932","19.8%","±1.7","10,106","±1,322","18.5%","±2.4","12,277","±1,837","21.0%","±3.1","10,131","±1,732","22.3%","±3.7","3,866","±956","18.4%","±4.5","6,265","±1,177","25.6%","±4.7","11,322","±1,735","19.8%","±3.0","5,939","±1,190","21.4%","±4.2","5,383","±1,052","18.4%","±3.5","9,347","±1,405","20.8%","±3.1","5,156","±992","22.0%","±4.2","4,191","±805","19.5%","±3.8","15,331","±2,197","18.9%","±2.8","6,652","±1,368","16.8%","±3.6","8,679","±1,507","20.8%","±3.6","44,914,086","±111,140","20.0%","±0.1","21,578,525","±71,329","19.8%","±0.1","23,335,561","±81,887","20.1%","±0.1"
"        Associate's degree","8,420","±1,963","9.6%","±2.2","3,804","±1,417","8.9%","±3.3","4,616","±1,170","10.3%","±2.6","6,377","±1,400","11.0%","±2.4","2,924","±847","10.3%","±3.0","3,453","±943","11.7%","±3.2","4,598","±1,014","7.1%","±1.6","1,998","±624","6.4%","±2.0","2,600","±822","7.8%","±2.4","4,865","±1,143","11.8%","±2.7","1,536","±597","7.5%","±2.9","3,329","±803","16.0%","±3.7","6,983","±1,180","10.1%","±1.7","2,522","±805","7.7%","±2.5","4,461","±726","12.3%","±2.0","15,127","±1,974","7.1%","±0.9","4,974","±1,041","4.9%","±1.0","10,153","±1,661","9.3%","±1.5","9,020","±1,476","12.1%","±2.0","4,350","±1,129","12.3%","±3.1","4,670","±1,214","11.9%","±3.0","43,559","±3,767","8.2%","±0.7","15,954","±2,001","6.4%","±0.8","27,605","±2,606","9.8%","±0.9","10,559","±1,572","9.3%","±1.4","4,736","±1,064","8.7%","±2.0","5,823","±1,056","9.9%","±1.8","4,126","±912","9.1%","±2.0","1,685","±648","8.0%","±3.1","2,441","±654","10.0%","±2.7","4,525","±886","7.9%","±1.5","2,007","±621","7.2%","±2.2","2,518","±679","8.6%","±2.3","3,643","±845","8.1%","±1.9","1,392","±599","5.9%","±2.5","2,251","±667","10.5%","±3.0","7,744","±1,718","9.5%","±2.1","3,992","±1,243","10.1%","±3.1","3,752","±1,131","9.0%","±2.7","19,381,937","±84,109","8.6%","±0.1","8,391,409","±46,395","7.7%","±0.1","10,990,528","±58,737","9.5%","±0.1"
