"Label","Alamance County, North Carolina!!Total!!Estimate","Alamance County, North Carolina!!Total!!Margin of Error","Alamance County, North Carolina!!Percent!!Estimate","Alamance County, North Carolina!!Percent!!Margin of Error","Brunswick County, North Carolina!!Total!!Estimate","Brunswick County, North Carolina!!Total!!Margin of Error","Brunswick County, North Carolina!!Percent!!Estimate","Brunswick County, North Carolina!!Percent!!Margin of Error","Buncombe County, North Carolina!!Total!!Estimate","Buncombe County, North Carolina!!Total!!Margin of Error","Buncombe County, North Carolina!!Percent!!Estimate","Buncombe County, North Carolina!!Percent!!Margin of Error","Burke County, North Carolina!!Total!!Estimate","Burke County, North Carolina!!Total!!Margin of Error","Burke County, North Carolina!!Percent!!Estimate","Burke County, North Carolina!!Percent!!Margin of Error","Cabarrus County, North Carolina!!Total!!Estimate","Cabarrus County, North Carolina!!Total!!Margin of Error","Cabarrus County, North Carolina!!Percent!!Estimate","Cabarrus County, North Carolina!!Percent!!Margin of Error","Caldwell County, North Carolina!!Total!!Estimate","Caldwell County, North Carolina!!Total!!Margin of Error","Caldwell County, North Carolina!!Percent!!Estimate","Caldwell County, North Carolina!!Percent!!Margin of Error","Carteret County, North Carolina!!Total!!Estimate","Carteret County, North Carolina!!Total!!Margin of Error","Carteret County, North Carolina!!Percent!!Estimate","Carteret County, North Carolina!!Percent!!Margin of Error","Catawba County, North Carolina!!Total!!Estimate","Catawba County, North Carolina!!Total!!Margin of Error","Catawba County, North Carolina!!Percent!!Estimate","Catawba County, North Carolina!!Percent!!Margin of Error","Chatham County, North Carolina!!Total!!Estimate","Chatham County, North Carolina!!Total!!Margin of Error","Chatham County, North Carolina!!Percent!!Estimate","Chatham County, North Carolina!!Percent!!Margin of Error","Cleveland County, North Carolina!!Total!!Estimate","Cleveland County, North Carolina!!Total!!Margin of Error","Cleveland County, North Carolina!!Percent!!Estimate","Cleveland County, North Carolina!!Percent!!Margin of Error","Craven County, North Carolina!!Total!!Estimate","Craven County, North Carolina!!Total!!Margin of Error","Craven County, North Carolina!!Percent!!Estimate","Craven County, North Carolina!!Percent!!Margin of Error","Cumberland County, North Carolina!!Total!!Estimate","Cumberland County, North Carolina!!Total!!Margin of Error","Cumberland County, North Carolina!!Percent!!Estimate","Cumberland County, North Carolina!!Percent!!Margin of Error","Davidson County, North Carolina!!Total!!Estimate","Davidson County, North Carolina!!Total!!Margin of Error","Davidson County, North Carolina!!Percent!!Estimate","Davidson County, North Carolina!!Percent!!Margin of Error","Durham County, North Carolina!!Total!!Estimate","Durham County, North Carolina!!Total!!Margin of Error","Durham County, North Carolina!!Percent!!Estimate","Durham County, North Carolina!!Percent!!Margin of Error","Forsyth County, North Carolina!!Total!!Estimate","Forsyth County, North Carolina!!Total!!Margin of Error","Forsyth County, North Carolina!!Percent!!Estimate","Forsyth County, North Carolina!!Percent!!Margin of Error","Franklin County, North Carolina!!Total!!Estimate","Franklin County, North Carolina!!Total!!Margin of Error","Franklin County, North Carolina!!Percent!!Estimate","Franklin County, North Carolina!!Percent!!Margin of Error","Gaston County, North Carolina!!Total!!Estimate","Gaston County, North Carolina!!Total!!Margin of Error","Gaston County, North Carolina!!Percent!!Estimate","Gaston County, North Carolina!!Percent!!Margin of Error","Guilford County, North Carolina!!Total!!Estimate","Guilford County, North Carolina!!Total!!Margin of Error","Guilford County, North Carolina!!Percent!!Estimate","Guilford County, North Carolina!!Percent!!Margin of Error","Harnett County, North Carolina!!Total!!Estimate","Harnett County, North Carolina!!Total!!Margin of Error","Harnett County, North Carolina!!Percent!!Estimate","Harnett County, North Carolina!!Percent!!Margin of Error","Henderson County, North Carolina!!Total!!Estimate","Henderson County, North Carolina!!Total!!Margin of Error","Henderson County, North Carolina!!Percent!!Estimate","Henderson County, North Carolina!!Percent!!Margin of Error","Iredell County, North Carolina!!Total!!Estimate","Iredell County, North Carolina!!Total!!Margin of Error","Iredell County, North Carolina!!Percent!!Estimate","Iredell County, North Carolina!!Percent!!Margin of Error","Johnston County, North Carolina!!Total!!Estimate","Johnston County, North Carolina!!Total!!Margin of Error","Johnston County, North Carolina!!Percent!!Estimate","Johnston County, North Carolina!!Percent!!Margin of Error","Lincoln County, North Carolina!!Total!!Estimate","Lincoln County, North Carolina!!Total!!Margin of Error","Lincoln County, North Carolina!!Percent!!Estimate","Lincoln County, North Carolina!!Percent!!Margin of Error","Mecklenburg County, North Carolina!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Margin of Error","Mecklenburg County, North Carolina!!Percent!!Estimate","Mecklenburg County, North Carolina!!Percent!!Margin of Error","Moore County, North Carolina!!Total!!Estimate","Moore County, North Carolina!!Total!!Margin of Error","Moore County, North Carolina!!Percent!!Estimate","Moore County, North Carolina!!Percent!!Margin of Error","Nash County, North Carolina!!Total!!Estimate","Nash County, North Carolina!!Total!!Margin of Error","Nash County, North Carolina!!Percent!!Estimate","Nash County, North Carolina!!Percent!!Margin of Error","New Hanover County, North Carolina!!Total!!Estimate","New Hanover County, North Carolina!!Total!!Margin of Error","New Hanover County, North Carolina!!Percent!!Estimate","New Hanover County, North Carolina!!Percent!!Margin of Error","Onslow County, North Carolina!!Total!!Estimate","Onslow County, North Carolina!!Total!!Margin of Error","Onslow County, North Carolina!!Percent!!Estimate","Onslow County, North Carolina!!Percent!!Margin of Error","Orange County, North Carolina!!Total!!Estimate","Orange County, North Carolina!!Total!!Margin of Error","Orange County, North Carolina!!Percent!!Estimate","Orange County, North Carolina!!Percent!!Margin of Error","Pitt County, North Carolina!!Total!!Estimate","Pitt County, North Carolina!!Total!!Margin of Error","Pitt County, North Carolina!!Percent!!Estimate","Pitt County, North Carolina!!Percent!!Margin of Error","Randolph County, North Carolina!!Total!!Estimate","Randolph County, North Carolina!!Total!!Margin of Error","Randolph County, North Carolina!!Percent!!Estimate","Randolph County, North Carolina!!Percent!!Margin of Error","Robeson County, North Carolina!!Total!!Estimate","Robeson County, North Carolina!!Total!!Margin of Error","Robeson County, North Carolina!!Percent!!Estimate","Robeson County, North Carolina!!Percent!!Margin of Error","Rockingham County, North Carolina!!Total!!Estimate","Rockingham County, North Carolina!!Total!!Margin of Error","Rockingham County, North Carolina!!Percent!!Estimate","Rockingham County, North Carolina!!Percent!!Margin of Error","Rowan County, North Carolina!!Total!!Estimate","Rowan County, North Carolina!!Total!!Margin of Error","Rowan County, North Carolina!!Percent!!Estimate","Rowan County, North Carolina!!Percent!!Margin of Error","Rutherford County, North Carolina!!Total!!Estimate","Rutherford County, North Carolina!!Total!!Margin of Error","Rutherford County, North Carolina!!Percent!!Estimate","Rutherford County, North Carolina!!Percent!!Margin of Error","Surry County, North Carolina!!Total!!Estimate","Surry County, North Carolina!!Total!!Margin of Error","Surry County, North Carolina!!Percent!!Estimate","Surry County, North Carolina!!Percent!!Margin of Error","Union County, North Carolina!!Total!!Estimate","Union County, North Carolina!!Total!!Margin of Error","Union County, North Carolina!!Percent!!Estimate","Union County, North Carolina!!Percent!!Margin of Error","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Total!!Margin of Error","Wake County, North Carolina!!Percent!!Estimate","Wake County, North Carolina!!Percent!!Margin of Error","Wayne County, North Carolina!!Total!!Estimate","Wayne County, North Carolina!!Total!!Margin of Error","Wayne County, North Carolina!!Percent!!Estimate","Wayne County, North Carolina!!Percent!!Margin of Error","Wilkes County, North Carolina!!Total!!Estimate","Wilkes County, North Carolina!!Total!!Margin of Error","Wilkes County, North Carolina!!Percent!!Estimate","Wilkes County, North Carolina!!Percent!!Margin of Error","Wilson County, North Carolina!!Total!!Estimate","Wilson County, North Carolina!!Total!!Margin of Error","Wilson County, North Carolina!!Percent!!Estimate","Wilson County, North Carolina!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","64,316","±1,763","(X)","(X)","58,385","±2,550","(X)","(X)","106,741","±3,462","(X)","(X)","36,634","±1,496","(X)","(X)","68,798","±1,914","(X)","(X)","32,513","±1,464","(X)","(X)","28,962","±1,649","(X)","(X)","62,417","±1,772","(X)","(X)","30,674","±947","(X)","(X)","30,599","±1,728","(X)","(X)","42,221","±1,600","(X)","(X)","128,135","±2,243","(X)","(X)","69,938","±1,667","(X)","(X)","131,140","±2,711","(X)","(X)","148,151","±2,664","(X)","(X)","26,720","±1,244","(X)","(X)","85,705","±1,578","(X)","(X)","206,950","±3,305","(X)","(X)","46,416","±1,461","(X)","(X)","51,115","±1,508","(X)","(X)","68,145","±1,701","(X)","(X)","73,567","±1,982","(X)","(X)","34,418","±1,246","(X)","(X)","426,313","±4,517","(X)","(X)","41,530","±1,339","(X)","(X)","37,574","±1,750","(X)","(X)","100,189","±2,499","(X)","(X)","63,604","±2,606","(X)","(X)","55,259","±1,600","(X)","(X)","70,926","±2,307","(X)","(X)","56,117","±1,793","(X)","(X)","46,272","±863","(X)","(X)","38,462","±1,483","(X)","(X)","55,241","±1,463","(X)","(X)","27,970","±1,392","(X)","(X)","28,408","±1,215","(X)","(X)","77,954","±1,511","(X)","(X)","419,361","±3,766","(X)","(X)","48,482","±1,541","(X)","(X)","28,376","±1,523","(X)","(X)","32,384","±1,354","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","59,120","±2,215","91.9%","±1.9","56,983","±2,552","97.6%","±0.8","96,190","±3,449","90.1%","±1.6","32,079","±1,761","87.6%","±2.9","65,128","±2,101","94.7%","±1.3","28,352","±1,773","87.2%","±4.2","26,616","±1,734","91.9%","±2.6","56,406","±1,916","90.4%","±1.6","28,017","±1,432","91.3%","±3.3","26,479","±1,845","86.5%","±2.9","38,780","±1,947","91.9%","±2.4","117,514","±2,559","91.7%","±1.2","63,552","±2,030","90.9%","±1.7","124,893","±2,828","95.2%","±1.0","139,011","±2,612","93.8%","±0.8","23,832","±1,383","89.2%","±3.1","79,597","±1,885","92.9%","±1.1","188,312","±4,024","91.0%","±1.2","43,323","±1,552","93.3%","±1.4","47,731","±1,866","93.4%","±1.9","63,909","±1,750","93.8%","±1.3","68,699","±2,234","93.4%","±1.8","31,320","±1,178","91.0%","±2.0","407,120","±4,722","95.5%","±0.6","37,654","±1,752","90.7%","±3.0","33,900","±1,830","90.2%","±2.2","94,870","±2,741","94.7%","±1.3","61,598","±2,701","96.8%","±1.1","53,763","±1,957","97.3%","±1.4","65,849","±2,445","92.8%","±1.8","50,934","±2,205","90.8%","±2.1","38,670","±1,130","83.6%","±1.9","30,504","±1,860","79.3%","±3.5","50,328","±1,515","91.1%","±1.8","25,194","±1,463","90.1%","±2.5","24,854","±1,311","87.5%","±2.3","74,651","±1,829","95.8%","±1.0","406,426","±4,157","96.9%","±0.5","42,745","±1,947","88.2%","±2.7","24,036","±1,826","84.7%","±3.9","25,961","±1,462","80.2%","±3.7","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","46,960","±2,530","73.0%","±3.3","48,285","±2,392","82.7%","±3.1","80,365","±3,471","75.3%","±2.7","23,711","±1,844","64.7%","±4.3","55,959","±2,551","81.3%","±3.2","21,892","±1,567","67.3%","±4.2","22,563","±1,508","77.9%","±3.5","43,904","±2,299","70.3%","±3.0","23,889","±1,851","77.9%","±5.1","19,772","±1,779","64.6%","±4.6","29,590","±2,467","70.1%","±4.9","94,705","±3,237","73.9%","±2.0","49,150","±2,457","70.3%","±3.0","105,715","±3,406","80.6%","±2.3","112,204","±3,248","75.7%","±2.0","18,792","±1,715","70.3%","±5.7","62,569","±2,159","73.0%","±2.3","159,855","±4,620","77.2%","±1.8","36,911","±1,656","79.5%","±2.6","38,771","±2,525","75.9%","±3.8","53,960","±2,069","79.2%","±2.2","57,743","±2,680","78.5%","±3.0","26,330","±1,670","76.5%","±4.0","347,924","±5,658","81.6%","±1.1","32,917","±1,886","79.3%","±3.7","23,556","±2,339","62.7%","±5.2","84,209","±2,976","84.1%","±2.1","53,024","±3,255","83.4%","±3.2","48,230","±2,345","87.3%","±3.0","53,000","±2,696","74.7%","±3.4","38,973","±2,443","69.4%","±3.6","26,260","±1,420","56.8%","±2.8","23,899","±1,811","62.1%","±4.6","40,100","±2,066","72.6%","±3.6","18,871","±1,867","67.5%","±5.2","19,282","±1,298","67.9%","±3.8","66,106","±2,351","84.8%","±2.2","363,271","±5,476","86.6%","±1.1","34,311","±1,973","70.8%","±3.2","19,397","±1,866","68.4%","±4.9","20,215","±1,755","62.4%","±4.9","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,397","±656","3.7%","±1.0","2,821","±767","4.8%","±1.3","4,299","±923","4.0%","±0.9","1,279","±526","3.5%","±1.4","2,431","±786","3.5%","±1.1","2,058","±660","6.3%","±2.0","1,144","±389","4.0%","±1.3","2,132","±657","3.4%","±1.0","1,612","±772","5.3%","±2.5","2,233","±742","7.3%","±2.3","2,028","±663","4.8%","±1.6","3,609","±720","2.8%","±0.6","2,543","±902","3.6%","±1.3","4,550","±1,262","3.5%","±1.0","5,967","±1,147","4.0%","±0.8","1,130","±506","4.2%","±1.9","3,336","±823","3.9%","±1.0","6,633","±1,277","3.2%","±0.6","926","±332","2.0%","±0.7","2,138","±709","4.2%","±1.4","3,154","±833","4.6%","±1.2","2,567","±1,262","3.5%","±1.7","1,359","±500","3.9%","±1.5","9,662","±1,591","2.3%","±0.4","1,871","±734","4.5%","±1.7","1,621","±618","4.3%","±1.7","3,313","±911","3.3%","±0.9","1,627","±541","2.6%","±0.8","1,591","±587","2.9%","±1.1","1,934","±641","2.7%","±0.9","2,330","±721","4.2%","±1.3","1,503","±559","3.2%","±1.2","1,731","±645","4.5%","±1.7","1,891","±518","3.4%","±1.0","1,209","±508","4.3%","±1.8","1,500","±525","5.3%","±1.8","3,283","±1,027","4.2%","±1.3","10,158","±1,599","2.4%","±0.4","1,285","±593","2.7%","±1.2","2,172","±724","7.7%","±2.5","1,232","±600","3.8%","±1.8","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","55,002","±2,219","85.5%","±2.2","51,582","±2,595","88.3%","±1.6","88,796","±3,210","83.2%","±1.7","29,722","±1,817","81.1%","±3.1","60,941","±2,077","88.6%","±1.7","25,096","±1,918","77.2%","±4.5","24,763","±1,678","85.5%","±3.0","52,347","±2,022","83.9%","±2.4","25,075","±1,519","81.7%","±3.8","23,460","±1,875","76.7%","±3.9","35,896","±1,910","85.0%","±2.7","110,931","±2,551","86.6%","±1.3","58,999","±2,200","84.4%","±2.3","117,226","±3,056","89.4%","±1.4","128,925","±2,855","87.0%","±1.2","22,532","±1,417","84.3%","±3.2","74,123","±1,921","86.5%","±1.3","176,335","±3,984","85.2%","±1.3","41,217","±1,527","88.8%","±1.6","43,857","±1,934","85.8%","±2.5","59,540","±1,769","87.4%","±1.7","64,132","±2,435","87.2%","±2.5","29,136","±1,240","84.7%","±2.4","390,672","±5,389","91.6%","±0.7","34,142","±1,638","82.2%","±3.3","30,154","±1,878","80.3%","±2.8","88,224","±2,868","88.1%","±1.8","58,705","±2,638","92.3%","±1.6","50,907","±2,094","92.1%","±1.9","62,571","±2,495","88.2%","±1.9","47,570","±2,045","84.8%","±2.1","35,670","±1,205","77.1%","±2.2","27,747","±1,997","72.1%","±3.9","47,105","±1,650","85.3%","±1.9","22,917","±1,615","81.9%","±3.3","21,393","±1,414","75.3%","±3.6","68,877","±2,121","88.4%","±2.0","389,427","±4,932","92.9%","±0.7","39,531","±2,181","81.5%","±3.4","20,854","±1,809","73.5%","±4.7","23,625","±1,548","73.0%","±4.1","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","7,934","±1,647","12.3%","±2.5","4,551","±1,468","7.8%","±2.4","9,495","±1,943","8.9%","±1.7","5,883","±1,407","16.1%","±3.6","4,746","±1,238","6.9%","±1.8","4,098","±970","12.6%","±2.9","2,716","±794","9.4%","±2.6","7,904","±1,698","12.7%","±2.7","2,503","±906","8.2%","±3.0","4,937","±1,173","16.1%","±3.6","6,008","±1,674","14.2%","±3.9","14,697","±1,630","11.5%","±1.2","9,627","±1,831","13.8%","±2.5","14,042","±2,859","10.7%","±2.1","19,569","±2,683","13.2%","±1.8","3,056","±1,258","11.4%","±4.7","12,152","±1,781","14.2%","±2.0","18,559","±2,634","9.0%","±1.3","4,990","±1,012","10.8%","±2.1","5,376","±1,262","10.5%","±2.5","5,632","±1,391","8.3%","±2.1","8,131","±1,664","11.1%","±2.2","3,073","±1,133","8.9%","±3.3","39,272","±3,569","9.2%","±0.8","2,296","±850","5.5%","±2.1","6,703","±1,677","17.8%","±4.4","5,797","±1,323","5.8%","±1.3","6,644","±1,761","10.4%","±2.8","3,912","±1,357","7.1%","±2.5","9,015","±1,724","12.7%","±2.4","7,935","±1,527","14.1%","±2.7","9,251","±1,222","20.0%","±2.6","3,890","±1,128","10.1%","±2.9","5,875","±1,155","10.6%","±2.0","3,523","±1,182","12.6%","±4.2","3,488","±880","12.3%","±3.0","4,362","±1,165","5.6%","±1.5","28,073","±3,854","6.7%","±0.9","4,681","±1,239","9.7%","±2.5","3,079","±959","10.9%","±3.3","3,655","±1,141","11.3%","±3.5","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","39,782","±2,653","61.9%","±3.7","39,632","±2,296","67.9%","±3.2","59,467","±3,124","55.7%","±2.7","19,773","±1,761","54.0%","±4.5","45,674","±2,574","66.4%","±3.4","16,548","±1,702","50.9%","±4.8","17,262","±1,452","59.6%","±3.7","35,198","±2,405","56.4%","±3.5","18,862","±1,967","61.5%","±6.0","14,383","±1,393","47.0%","±4.0","22,777","±2,091","53.9%","±4.5","77,086","±2,643","60.2%","±2.0","41,187","±2,547","58.9%","±3.6","79,807","±4,275","60.9%","±2.9","79,253","±3,399","53.5%","±2.0","14,145","±1,879","52.9%","±6.4","45,548","±2,282","53.1%","±2.6","119,979","±5,037","58.0%","±2.3","30,809","±1,898","66.4%","±3.7","29,972","±2,267","58.6%","±3.9","45,256","±2,058","66.4%","±2.6","38,437","±2,708","52.2%","±3.4","21,250","±1,802","61.7%","±4.7","281,149","±6,236","65.9%","±1.3","25,606","±1,959","61.7%","±4.1","18,673","±2,209","49.7%","±5.2","64,487","±2,944","64.4%","±2.6","38,737","±3,255","60.9%","±4.5","38,475","±2,371","69.6%","±3.6","41,414","±2,495","58.4%","±3.2","31,332","±2,147","55.8%","±3.5","20,200","±1,346","43.7%","±2.7","17,436","±1,716","45.3%","±4.3","32,598","±2,090","59.0%","±3.5","16,329","±1,597","58.4%","±5.2","14,344","±1,307","50.5%","±4.1","56,455","±2,366","72.4%","±2.5","297,023","±5,997","70.8%","±1.3","27,674","±2,413","57.1%","±4.7","14,790","±1,863","52.1%","±5.6","14,332","±1,604","44.3%","±4.8","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","663","±357","1.0%","±0.6","839","±461","1.4%","±0.8","714","±367","0.7%","±0.3","291","±264","0.8%","±0.7","1,016","±621","1.5%","±0.9","293","±212","0.9%","±0.6","99","±95","0.3%","±0.3","660","±373","1.1%","±0.6","319","±252","1.0%","±0.8","241","±173","0.8%","±0.6","174","±204","0.4%","±0.5","809","±379","0.6%","±0.3","758","±472","1.1%","±0.7","943","±489","0.7%","±0.4","1,128","±428","0.8%","±0.3","128","±199","0.5%","±0.7","859","±364","1.0%","±0.4","1,837","±677","0.9%","±0.3","292","±227","0.6%","±0.5","475","±281","0.9%","±0.6","332","±220","0.5%","±0.3","396","±361","0.5%","±0.5","313","±272","0.9%","±0.8","2,494","±834","0.6%","±0.2","806","±534","1.9%","±1.3","1,247","±750","3.3%","±2.0","1,156","±533","1.2%","±0.5","532","±446","0.8%","±0.7","428","±279","0.8%","±0.5","656","±366","0.9%","±0.5","571","±365","1.0%","±0.6","538","±235","1.2%","±0.5","260","±195","0.7%","±0.5","596","±333","1.1%","±0.6","730","±528","2.6%","±1.9","714","±539","2.5%","±1.9","531","±277","0.7%","±0.4","2,068","±636","0.5%","±0.2","481","±295","1.0%","±0.6","422","±279","1.5%","±1.0","240","±213","0.7%","±0.7","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","690","±305","1.1%","±0.5","1,342","±513","2.3%","±0.9","1,625","±691","1.5%","±0.6","311","±243","0.8%","±0.7","1,081","±511","1.6%","±0.7","307","±243","0.9%","±0.7","549","±256","1.9%","±0.9","1,470","±820","2.4%","±1.3","727","±478","2.4%","±1.5","434","±311","1.4%","±1.0","1,323","±733","3.1%","±1.7","8,749","±1,180","6.8%","±0.9","991","±458","1.4%","±0.6","3,204","±1,380","2.4%","±1.0","2,622","±795","1.8%","±0.5","633","±518","2.4%","±1.9","689","±302","0.8%","±0.4","3,088","±738","1.5%","±0.4","886","±432","1.9%","±0.9","744","±391","1.5%","±0.8","823","±457","1.2%","±0.7","1,063","±618","1.4%","±0.8","395","±277","1.1%","±0.8","5,251","±869","1.2%","±0.2","504","±339","1.2%","±0.8","414","±352","1.1%","±0.9","1,532","±656","1.5%","±0.7","567","±364","0.9%","±0.6","738","±511","1.3%","±0.9","995","±516","1.4%","±0.7","758","±460","1.4%","±0.8","651","±274","1.4%","±0.6","200","±177","0.5%","±0.5","444","±353","0.8%","±0.6","347","±269","1.2%","±1.0","716","±455","2.5%","±1.6","1,023","±384","1.3%","±0.5","7,572","±1,229","1.8%","±0.3","508","±318","1.0%","±0.7","334","±265","1.2%","±0.9","1,343","±812","4.1%","±2.5","2,937,915","±27,533","2.4%","±0.1"
"                Other computer with no other type of computing device","0","±216","0.0%","±0.3","0","±216","0.0%","±0.3","70","±114","0.1%","±0.1","67","±118","0.2%","±0.3","0","±216","0.0%","±0.3","0","±216","0.0%","±0.6","0","±216","0.0%","±0.7","0","±216","0.0%","±0.3","0","±216","0.0%","±0.6","0","±216","0.0%","±0.6","0","±216","0.0%","±0.5","0","±216","0.0%","±0.1","60","±98","0.1%","±0.1","58","±94","0.0%","±0.1","24","±38","0.0%","±0.1","0","±216","0.0%","±0.7","0","±216","0.0%","±0.2","0","±216","0.0%","±0.1","0","±216","0.0%","±0.4","0","±216","0.0%","±0.4","0","±216","0.0%","±0.3","91","±153","0.1%","±0.2","0","±216","0.0%","±0.6","79","±91","0.0%","±0.1","0","±216","0.0%","±0.5","0","±216","0.0%","±0.5","76","±124","0.1%","±0.1","0","±216","0.0%","±0.3","0","±216","0.0%","±0.3","0","±216","0.0%","±0.3","0","±216","0.0%","±0.3","0","±216","0.0%","±0.4","0","±216","0.0%","±0.5","0","±216","0.0%","±0.3","0","±216","0.0%","±0.7","66","±111","0.2%","±0.4","0","±216","0.0%","±0.2","0","±216","0.0%","±0.1","0","±216","0.0%","±0.4","41","±73","0.1%","±0.3","0","±216","0.0%","±0.6","25,911","±2,308","0.0%","±0.1"
"        No computer","5,196","±1,224","8.1%","±1.9","1,402","±487","2.4%","±0.8","10,551","±1,754","9.9%","±1.6","4,555","±1,060","12.4%","±2.9","3,670","±922","5.3%","±1.3","4,161","±1,383","12.8%","±4.2","2,346","±755","8.1%","±2.6","6,011","±1,043","9.6%","±1.6","2,657","±1,001","8.7%","±3.3","4,120","±885","13.5%","±2.9","3,441","±982","8.1%","±2.4","10,621","±1,490","8.3%","±1.2","6,386","±1,200","9.1%","±1.7","6,247","±1,272","4.8%","±1.0","9,140","±1,274","6.2%","±0.8","2,888","±828","10.8%","±3.1","6,108","±972","7.1%","±1.1","18,638","±2,483","9.0%","±1.2","3,093","±671","6.7%","±1.4","3,384","±961","6.6%","±1.9","4,236","±915","6.2%","±1.3","4,868","±1,318","6.6%","±1.8","3,098","±709","9.0%","±2.0","19,193","±2,460","4.5%","±0.6","3,876","±1,236","9.3%","±3.0","3,674","±824","9.8%","±2.2","5,319","±1,308","5.3%","±1.3","2,006","±688","3.2%","±1.1","1,496","±785","2.7%","±1.4","5,077","±1,267","7.2%","±1.8","5,183","±1,166","9.2%","±2.1","7,602","±897","16.4%","±1.9","7,958","±1,368","20.7%","±3.5","4,913","±1,018","8.9%","±1.8","2,776","±719","9.9%","±2.5","3,554","±659","12.5%","±2.3","3,303","±776","4.2%","±1.0","12,935","±2,175","3.1%","±0.5","5,737","±1,303","11.8%","±2.7","4,340","±1,090","15.3%","±3.9","6,423","±1,281","19.8%","±3.7","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","52,170","±2,162","81.1%","±2.6","53,788","±2,570","92.1%","±1.8","89,490","±3,389","83.8%","±1.9","28,638","±1,901","78.2%","±4.0","62,064","±2,335","90.2%","±2.1","27,609","±1,758","84.9%","±4.2","25,805","±1,755","89.1%","±2.8","53,396","±2,033","85.5%","±2.1","24,252","±1,617","79.1%","±4.5","21,365","±1,873","69.8%","±4.2","34,085","±2,219","80.7%","±3.6","112,233","±2,422","87.6%","±1.3","58,447","±2,037","83.6%","±2.3","118,285","±3,118","90.2%","±1.6","126,231","±3,219","85.2%","±1.6","23,056","±1,538","86.3%","±3.7","72,972","±2,047","85.1%","±2.0","174,775","±4,036","84.5%","±1.4","38,561","±1,548","83.1%","±2.4","43,542","±2,097","85.2%","±3.2","60,619","±1,774","89.0%","±1.4","58,198","±2,906","79.1%","±3.4","29,788","±1,326","86.5%","±2.8","387,252","±5,371","90.8%","±0.8","35,248","±1,756","84.9%","±3.5","30,977","±1,935","82.4%","±3.2","89,446","±2,885","89.3%","±2.0","57,953","±3,448","91.1%","±2.8","51,107","±2,142","92.5%","±2.1","60,827","±2,358","85.8%","±2.7","45,523","±2,121","81.1%","±2.8","31,580","±1,351","68.2%","±2.7","27,941","±1,760","72.6%","±3.9","48,369","±1,670","87.6%","±2.5","23,112","±1,679","82.6%","±3.8","21,652","±1,269","76.2%","±3.3","72,085","±1,912","92.5%","±1.7","392,579","±4,518","93.6%","±0.7","41,547","±1,997","85.7%","±2.8","22,676","±1,821","79.9%","±4.1","24,050","±1,790","74.3%","±4.6","106,364,661","±221,795","86.6%","±0.1"
